"","species","Argentina","Belize","Bolivia","Brazil","Canada","CaymanIslands","Chile","Colombia","Costa.Rica","Cuba","Dominican.Republic","Ecuador","El.Salvador","French.Guiana","Guadeloupe","Guatemala","Grenada","Guyana","Haiti","Honduras","Jamaica","Martinica","Mexico","Nicaragua","Panama","Paraguay","PuertoRico","Peru","Suriname","TrinidadTobago","Uruguay","USA","Venezuela","VirginIslands","hs.canopy","hs.floor","b.tsmbf","b.tsdbf","b.tsgss","b.mangrove","b.fgs","b.dxs","b.tscf","b.tgss","b.tcforest","b.tbmforest","b.montane","mh.flfs","mh.ab","mh.bwa","mh.tttr","mh.th","mh.tt","mh.cr","mh.ca","mh.fwsl","mh.ma","mh.ada","mh.oihd","peri","intra","wild","semi.domestic","domestic","bites.man","bites.mammals","labruml_wingl","A3_wingl","no.lat.teeth","wing.length","wingl_wingw","wing.width","temp","temp.range","flii","canopy","ghm","evi","tribe_Hertigiini","tribe_Phlebotomini","subtribe_Brumptomyiina","subtribe_Hertigiina","subtribe_Lutzomyiina","subtribe_Psychodopygina","subtribe_Sergentomyiina","genus_Bichromomyia","genus_Brumptomyia","genus_Dampfomyia","genus_Deanemyia","genus_Evandromyia","genus_Expapillata","genus_Hertigia","genus_Lutzomyia","genus_Martinsmyia","genus_Micropygomyia","genus_Migonemyia","genus_Nyssomyia","genus_Oligodontomyia","genus_Pintomyia","genus_Pressatia","genus_Psathyromyia","genus_Psychodopygus","genus_Sciopemyia","genus_Trichophoromyia","genus_Trichopygomyia","genus_Viannamyia","genus_Warileya","maxshape_sabre","maxshape_spear","hypoteeth_rough","hypoteeth_smooth","hypoteeth_spiculate","log.citations","log.labrum.length","log.no.ven.teeth","log.no.cib.teeth","log.dental.depth","log.temp.var","log.rainfall","log.elevation","log.wind.speed","log.tree.cover","log.crops.cover","log.grass.cover","log.urban.cover","log.shrub.cover","log.water.perm.cover","log.water.seas.cover","log.ecoregion.breadth"
"1","Hertigia hertigi",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.94912109,14.20962524,5986,34,0.436974943,5109.343478,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000999500333083423,NA,NA,NA,NA,-0.587967666881989,5.42984751000862,6.03787330655413,-0.977518552766079,4.60518018593809,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.000999500333083423
"2","Warileya euniceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.54338989,14.38858032,9205,28,0.179142773,3973.847826,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.000999500333083423,NA,NA,NA,NA,0.492580497910496,5.81231493148548,7.548029497083,-0.918330588467692,4.51525641931929,-6.90775527898214,1.60963789243677,-6.90775527898214,1.28121158466674,-6.90775527898214,-6.90775527898214,0.000999500333083423
"3","Warileya fourgassiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.000999500333083423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Warileya leponti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.000999500333083423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Warileya lumbrerasi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1143,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.693647055601596,-0.820526109889776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Warileya nigrosaccula",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.14,NA,1.48,2.6,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2.70811686554675,-1.60445037092306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Warileya phlebotomanica",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.1,0,3.4,2.6,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.693647055601596,-0.991553216374702,3.68890445380144,NA,-2.29263476214088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Warileya rotundipennis",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,0.13,0.13,8,2.18,2.5,NA,16.36003011,12.96442668,7740,24.33333333,0.316741228,4367.115942,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1.3865443298751,-1.10563690360507,3.40123071443995,NA,-2.1982250776698,-1.31130172639552,6.30191906859597,7.6536534990777,-0.677441922301792,4.23315436058241,0.0337570964758647,2.949740689703,-6.90775527898214,2.38579202031715,-6.90775527898214,-6.90775527898214,0.693647055601596
"9","Warileya yungasi",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.693647055601596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Brumptomyia angelae",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.000999500333083423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
